# PJM RPM capacity prices: BRA Resource Clearing Prices + Final Zonal Capacity Prices
# Sources: per-DY Excel files on https://pjm.com/markets-and-operations/rpm.aspx
#   - "<DY> Final Zonal UCAP Obligations, Capacity Prices and CTR Credit Rates" (XLS;
#     for DY 2023/24+ the FZSF-FZCP sheet ships inside the "<DY> 3IA Results" XLSX)
#     -> final_zonal_capacity_price_per_mw_day (one value per zone)
#   - "<DY> Base Residual Auction Results" report (XLS/PDF)
#     -> bra_price_per_mw_day (one value per LDA; copy down to each member zone)
#
# Zones are canonical labels (see data/pjm/README.md crosswalk). UGI is not
# separately reported in the RPM zonal files (inside the PPL LDA); OVEC is
# excluded (no retail LSE load; reported only from DY 2022/23).
#
# MAINTENANCE: To add a new delivery year:
# 1. Download both files for the DY from the RPM page (URLs change per DY;
#    record the Final Zonal XLS URL in source_url).
# 2. Add one row per transmission zone (canonical labels; see data/pjm/README.md
#    crosswalk). Set lda to the most-specific LDA that cleared separately for
#    that zone; zones at the system price get lda=RTO.
# 3. Set final_price_as_of to the XLS publication/revision date.
# 4. Run: just validate. 5. Commit. 6. just upload.
#
# MAINTENANCE: IA true-ups — when an Incremental Auction changes a DY's Final
# Zonal Capacity Price, update the affected rows in place, bump
# final_price_as_of, note the IA in notes. Git history is the revision trail.
delivery_year,dy_start,dy_end,zone,lda,bra_price_per_mw_day,final_zonal_capacity_price_per_mw_day,source_url,final_price_as_of,notes
2018/19,2018-06-01,2019-05-31,PSEG,EMAAC,225.42,225.914062,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,RECO,EMAAC,225.42,225.914062,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,AECO,EMAAC,119.77,117.924934,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,AEP,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,APS,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,ATSI,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,BGE,BGE,100.30,97.222304,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY); BGE constrained LDA this DY
2019/20,2019-06-01,2020-05-31,COMED,COMED,202.77,195.994360,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,DAY,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,DEOK,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,DOM,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,DPL,EMAAC,119.77,117.924934,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,DUQ,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,EKPC,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,JCPL,EMAAC,119.77,117.924934,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,METED,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,PECO,EMAAC,119.77,117.924934,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,PENELEC,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,PEPCO,RTO,100.00,92.895932,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,PPL,RTO,100.00,98.074853,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,PSEG,EMAAC,119.77,118.175493,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2019/20,2019-06-01,2020-05-31,RECO,EMAAC,119.77,117.924934,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2019-2020/2019-2020-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xls,2024-06-14,CP resource clearing price (CP/base transition DY)
2020/21,2020-06-01,2021-05-31,AECO,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,AEP,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,APS,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,ATSI,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,BGE,MAAC,86.04,86.980662,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,COMED,COMED,188.12,190.038183,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,DAY,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,DEOK,DEOK,130.00,128.734584,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,DOM,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,DPL,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,DUQ,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,EKPC,RTO,76.53,77.308670,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,JCPL,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,METED,MAAC,86.04,86.980662,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,PECO,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,PENELEC,MAAC,86.04,86.980662,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,PEPCO,MAAC,86.04,86.980662,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,PPL,MAAC,86.04,86.980662,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,PSEG,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2020/21,2020-06-01,2021-05-31,RECO,EMAAC,187.87,187.128703,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2020-2021/2020-2021-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,AECO,EMAAC,165.73,167.684989,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,AEP,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,APS,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,ATSI,ATSI,171.33,167.988480,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,BGE,BGE,200.30,204.459034,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,BGE constrained LDA this DY
2021/22,2021-06-01,2022-05-31,COMED,COMED,195.55,198.430388,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,DAY,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,DEOK,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,DOM,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,DPL,EMAAC,165.73,167.684989,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,DUQ,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,EKPC,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,JCPL,EMAAC,165.73,167.684989,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,METED,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,PECO,EMAAC,165.73,167.684989,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,PENELEC,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,PEPCO,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,PPL,RTO,140.00,142.164063,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,PSEG,PSEG,204.29,209.886995,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2021/22,2021-06-01,2022-05-31,RECO,EMAAC,165.73,167.684989,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2021-2022/2021-2022-final-zonal-ucap-obligations-capacity-prices-and-ctr-credit-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,AECO,EMAAC,97.86,98.192272,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,AEP,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,APS,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,ATSI,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,BGE,BGE,126.50,125.120983,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,BGE constrained LDA this DY
2022/23,2022-06-01,2023-05-31,COMED,COMED,68.96,67.404065,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,DAY,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,DEOK,DEOK,71.69,72.581461,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,DOM,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,DPL,EMAAC,97.86,98.192272,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
2022/23,2022-06-01,2023-05-31,DUQ,RTO,50.00,50.048666,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2022-2023/2022-2023-final-zonal-ucap-obligations-capacity-prices-and-ctr-rates.xlsx,2024-06-14,
