occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0
1,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0
1,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
1,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
1,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
1,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0
1,0.0493,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0
1,0.0493,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0
0.5,0.0493,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0.138
0.5,0.0493,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0
0.5,0.248,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.457,0.626,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
0.5,0.248,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.457,0.626,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
0,0.0493,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
0,0.0493,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
0,0.0493,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0,0.0493,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0,0.0493,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0,0.0493,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0
0,0.0493,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0
0,0.0493,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0.0843
0,0.0493,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0.253
0,0.0493,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0.0843
0,0.0493,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0
0,0.0493,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0
0,0.0493,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0
0,0.0493,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
0,0.0493,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
0,0.0493,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
0,0.0493,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
0,0.0493,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0
0,0.0493,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0
0,0.0493,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0
0,0.0493,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0,0.0493,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0,0.0493,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.335,0.545,0.545,0.0288,0,0.672,0.672,0.672,0,0,0,0.402,0.682,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0,0,0
0.5,0.335,0.545,0.545,0.0288,0,0.672,0.672,0.672,0,0,0,0.402,0.682,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0,0,0
0.5,0.335,0.545,0.545,0.0288,0.6,0.672,0.672,0.672,0,0,0,0.402,0.682,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0,0,0
0.5,0.335,0.545,0.545,0.0288,1,0.672,0.672,0.672,0,0,0,0.402,0.682,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0,0,0
0.5,0.436,0.741,0.741,0.346,0.467,0.733,0.733,0.733,0,0,0,0.499,0.72,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0,0,0
0.5,0.436,0.741,0.741,0.346,0,0.733,0.733,0.733,0,0,0,0.499,0.72,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0,0,0
0.5,0.436,0.741,0.741,0.346,0,0.733,0.733,0.733,0,0,0,0.499,0.72,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0,0,0
0.5,0.436,0.741,0.741,0.346,0,0.733,0.733,0.733,0,0,0,0.499,0.72,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0,0,0
0.5,0.519,0.881,0.881,0.593,0,0.764,0.764,0.764,0,0,0,0.569,0.729,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0,0,0
0.5,0.519,0.881,0.881,0.593,0,0.764,0.764,0.764,0,0,0,0.569,0.729,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0,0,0
0.5,0.519,0.881,0.881,0.593,0,0.764,0.764,0.764,0,0,0,0.569,0.729,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0,0,0
0.5,0.519,0.881,0.881,0.593,0,0.764,0.764,0.764,0,0,0,0.569,0.729,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0,0,0
0.5,0.512,0.937,0.937,0.683,0,0.733,0.733,0.733,0,0,0,0.597,0.701,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0,0,0.0843
0.5,0.512,0.937,0.937,0.683,0,0.733,0.733,0.733,0,0,0,0.597,0.701,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0,0,0
0.5,0.512,0.937,0.937,0.683,0,0.733,0.733,0.733,0,0,0,0.597,0.701,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0,0,0.253
0.5,0.512,0.937,0.937,0.683,0,0.733,0.733,0.733,0,0,0,0.597,0.701,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0,0,0.169
0.5,0.421,0.993,0.993,1,0,0.718,0.718,0.718,0,0,0,0.625,0.673,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0,0,0
0.5,0.421,0.993,0.993,1,0,0.718,0.718,0.718,0,0,0,0.625,0.673,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0,0,0.253
0.5,0.421,0.993,0.993,1,0,0.718,0.718,0.718,0,0,0,0.625,0.673,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0,0,0.337
0.5,0.421,0.993,0.993,1,0,0.718,0.718,0.718,0,0,0,0.625,0.673,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0,0,0.0843
0.5,0.324,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0.611,0.654,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0,0,0
0.5,0.324,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0.611,0.654,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0,0,0.313
0.5,0.324,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0.611,0.654,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0,0,0
0.5,0.324,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0.611,0.654,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0,0,0
0.5,0.285,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0.541,0.607,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0,0,0.188
0.5,0.285,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0.541,0.607,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0,0,0.0843
0.5,0.285,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0.541,0.607,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0,0,0.138
0.5,0.285,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0.541,0.607,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0,0,0.213
0.5,0.0493,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0,0,0.169
0.5,0.0493,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0,0,0
0.5,0.0493,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0,0,0
0.5,0.0493,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0,0,0
0.5,0.0493,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0,0,0.169
0.5,0.0493,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0,0,0
0.5,0.0493,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0,0,0
0.5,0.0493,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0,0,0.253
0.5,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0.253
0.5,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0
0.5,0.0493,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0,0,0
0.5,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
0.5,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
0.5,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
0.5,0.0493,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0,0,0
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0.262
1,0.0493,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0.0581
1,0.0999,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.381,0.542,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0
1,0.0999,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.381,0.542,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0,0,0.139
1,0.201,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.43,0.579,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0
1,0.201,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.43,0.579,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0
1,0.201,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.43,0.579,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0.257
1,0.201,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.43,0.579,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0,0,0.0285
1,0.447,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.657,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
1,0.447,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.657,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0.117
1,0.447,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.657,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
1,0.447,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.657,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0,0,0
0.5,0.262,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.367,0.635,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0.228
0.5,0.262,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.367,0.635,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0.5,0.262,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.367,0.635,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0.5,0.262,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.367,0.635,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0,0,0
0,0.0493,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0
0.5,0.262,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.297,0.635,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0
0.5,0.262,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.297,0.635,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0.0843
0.5,0.262,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.297,0.635,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0,0,0
0.5,0.253,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.304,0.645,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0.0843
0.5,0.253,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.304,0.645,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0
0.5,0.253,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.304,0.645,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0.0843
0.5,0.253,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.304,0.645,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0,0,0
0.5,0.246,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.297,0.654,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
1,0.444,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.336,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0.0843
1,0.444,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.336,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0.128
1,0.444,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0.336,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0,0,0
1,0.44,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.392,0.843,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0.111
1,0.44,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.392,0.843,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0.418
0.5,0.245,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.325,0.654,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0.0279
0.5,0.245,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.325,0.654,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0,0,0.253
0.5,0.249,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.346,0.645,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0.169
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0.0843
0,0.0493,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0.5,0.249,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.346,0.645,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0,0,0
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0.253
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.273,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.353,0.664,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0,0,0
0.5,0.335,0.545,0.545,0.0288,0,0.672,0.672,0.672,0,0,0,0.402,0.682,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0,0,0
